Subject,Predicate,Object
"Memorial Day","starts at","Sun May 24 17:00:00 PDT 2026"
"Mother's Day","starts at","Sat May 09 17:00:00 PDT 2026"
"Cinco de Mayo","starts at","Mon May 04 17:00:00 PDT 2026"
"Tax Day","starts at","Tue Apr 14 17:00:00 PDT 2026"
"Easter Monday","starts at","Sun Apr 05 17:00:00 PDT 2026"
"Easter Sunday","starts at","Sat Apr 04 17:00:00 PDT 2026"
"St. Patrick's Day","starts at","Mon Mar 16 17:00:00 PDT 2026"
"Daylight Saving Time starts","starts at","Sat Mar 07 16:00:00 PST 2026"
"Presidents' Day","starts at","Sun Feb 15 16:00:00 PST 2026"
"Valentine's Day","starts at","Fri Feb 13 16:00:00 PST 2026"
"Martin Luther King Jr. Day","starts at","Sun Jan 18 16:00:00 PST 2026"
"New Year's Day","starts at","Wed Dec 31 16:00:00 PST 2025"
"New Year's Eve","starts at","Tue Dec 30 16:00:00 PST 2025"
"New Year's Eve","starts at","Tue Dec 30 16:00:00 PST 2025"
"Year-End Review","starts at","Tue Dec 30 09:00:00 PST 2025"
"Team Sync","starts at","Fri Dec 26 09:00:00 PST 2025"
"Holiday Party","starts at","Wed Dec 24 18:00:00 PST 2025"
"Christmas Day","starts at","Wed Dec 24 16:00:00 PST 2025"
"Christmas","starts at","Wed Dec 24 16:00:00 PST 2025"
"Christmas Eve","starts at","Tue Dec 23 16:00:00 PST 2025"
"Project Kickoff","starts at","Tue Dec 23 09:00:00 PST 2025"
"Holiday Party with Friends","starts at","Sun Dec 21 18:00:00 PST 2025"
"Christmas Celebration","starts at","Sun Dec 21 17:00:00 PST 2025"
"Philosophy of Science","starts at","Sat Dec 20 09:30:00 PST 2025"
"Monthly Review Meeting","starts at","Sat Dec 20 08:00:00 PST 2025"
"Product Demo","starts at","Fri Dec 19 09:00:00 PST 2025"
"Design Review","starts at","Thu Dec 18 08:00:00 PST 2025"
"Team Sync","starts at","Wed Dec 17 09:00:00 PST 2025"
"Retrospective Meeting","starts at","Tue Dec 16 08:00:00 PST 2025"
"Physical Chemistry","starts at","Mon Dec 15 10:00:00 PST 2025"
"Dinner with Friends","starts at","Sun Dec 14 17:00:00 PST 2025"
"Holiday Preparations","starts at","Sun Dec 14 13:00:00 PST 2025"
"Design Workshop","starts at","Sat Dec 13 09:00:00 PST 2025"
"Marketing Strategy Meeting","starts at","Fri Dec 12 08:00:00 PST 2025"
"Design Review","starts at","Thu Dec 11 09:00:00 PST 2025"
"One-on-One Meeting","starts at","Wed Dec 10 08:00:00 PST 2025"
"Cloud Computing Basics","starts at","Wed Dec 10 08:00:00 PST 2025"
"Product Demo","starts at","Tue Dec 09 09:00:00 PST 2025"
"Family Outing","starts at","Sun Dec 07 09:00:00 PST 2025"
"Hiking Trip","starts at","Sun Dec 07 05:00:00 PST 2025"
"Weekly Sync-Up","starts at","Sat Dec 06 08:00:00 PST 2025"
"Advanced Data Structures","starts at","Fri Dec 05 13:00:00 PST 2025"
"Client Feedback Session","starts at","Fri Dec 05 09:00:00 PST 2025"
"Design Workshop","starts at","Thu Dec 04 08:00:00 PST 2025"
