prompt,answer
When is my Advanced Data Structures?,"Your Advanced Data Structures is scheduled on Friday, December 05 at 09:00 PM MST."
When is my Advanced Physics?,"Your Advanced Physics is scheduled on Wednesday, September 10 at 09:00 PM MST."
When is my AI Ethics Lecture?,"Your AI Ethics Lecture is scheduled on Sunday, November 02 at 05:00 PM MST."
When is my Art History?,"Your Art History is scheduled on Monday, October 20 at 05:30 PM MST."
When is my Astrophysics Seminar?,"Your Astrophysics Seminar is scheduled on Sunday, October 05 at 09:00 PM MST."
When is my Beach Day with Friends?,"You have multiple Beach Day with Friendss scheduled:
- Sunday, August 31 at 04:00 PM MST
- Sunday, October 26 at 04:00 PM MST
- Sunday, November 23 at 04:00 PM MST"
When is my Big Data Analytics?,"Your Big Data Analytics is scheduled on Saturday, November 15 at 04:00 PM MST."
When does my Breakfast start?,"You have multiple Breakfasts scheduled:
- Friday, August 01 at 03:00 PM MST
- Monday, September 01 at 03:00 PM MST
- Wednesday, October 01 at 03:00 PM MST
- Saturday, November 01 at 03:00 PM MST
- Monday, December 01 at 03:00 PM MST"
When is my Catch-up with Friends?,"Your Catch-up with Friends is scheduled on Sunday, August 03 at 11:00 PM MST."
When is my Chemistry Seminar?,"Your Chemistry Seminar is scheduled on Friday, August 15 at 06:00 PM MST."
When is my Christmas?,"Your Christmas is scheduled on Thursday, December 25 at 12:00 AM MST."
When is my Christmas Celebration?,"Your Christmas Celebration is scheduled on Monday, December 22 at 01:00 AM MST."
When is my Client Call?,"You have multiple Client Calls scheduled:
- Wednesday, August 13 at 04:00 PM MST
- Wednesday, August 27 at 04:00 PM MST
- Thursday, October 09 at 04:00 PM MST
- Wednesday, October 22 at 04:00 PM MST"
When is my Client Feedback Session?,"You have multiple Client Feedback Sessions scheduled:
- Friday, August 08 at 05:00 PM MST
- Friday, August 22 at 05:00 PM MST
- Saturday, October 04 at 05:00 PM MST
- Thursday, November 06 at 04:00 PM MST
- Friday, December 05 at 05:00 PM MST"
When are my Client Kickoff Meetings?,"You have multiple Client Kickoff Meetings scheduled:
- Tuesday, October 14 at 05:00 PM MST
- Tuesday, November 04 at 05:00 PM MST
- Wednesday, December 03 at 05:00 PM MST"
When is my Client Presentation?,"Your Client Presentation is scheduled on Thursday, November 20 at 05:00 PM MST."
