prompt,answer
When is my next Weekly Meeting (test)?,"Your next Weekly Meeting (test) is on Tuesday, July 8, 2025, from 12:00 PM to 1:00 PM at Centerpoint on Mill, 660 S Mill Ave, Tempe, AZ 85281, USA. This event repeats weekly on Tuesdays."
When is my next Family Movie Night?,"Your next Family Movie Night is on Sunday, August 24, 2025, from 7:00 PM to 9:00 PM."
When is my next Lunch Break?,"Your next Lunch Break is on Friday, August 1, 2025, from 12:30 PM to 1:00 PM."
When is my next Work Session?,"Your next Work Session is on Friday, August 1, 2025, from 9:00 AM to 12:00 PM."
When is my next Planning Next Day session?,"Your next Planning Next Day session is on Friday, August 1, 2025, from 7:00 PM to 7:30 PM."
When is my next Product Demo?,"Your next Product Demo is on Thursday, August 7, 2025, from 10:00 AM to 11:00 AM."
When is my next One-on-One Meeting?,"Your next One-on-One Meeting is on Wednesday, August 6, 2025, from 10:00 AM to 11:00 AM."
When is my next Family Dinner?,"Your next Family Dinner is on Sunday, August 3, 2025, from 6:00 PM to 8:00 PM."
When is my next Breakfast?,"Your next Breakfast is on Friday, August 1, 2025, from 8:00 AM to 8:30 AM."
When is my next Design Review?,"Your next Design Review is on Thursday, August 28, 2025, from 10:00 AM to 11:00 AM."
When is my next Team Sync?,"Your next Team Sync is on Thursday, August 14, 2025, from 10:00 AM to 11:00 AM."
When is my next Client Presentation?,"Your next Client Presentation is on Thursday, November 20, 2025, from 10:00 AM to 11:00 AM."
When is my next Monthly Review Meeting?,"Your next Monthly Review Meeting is on Friday, August 15, 2025, from 9:00 AM to 10:00 AM."
When is my next Morning Walk?,"Your next Morning Walk is on Friday, August 1, 2025, from 6:30 AM to 7:00 AM."
When is my next Evening Walk?,"Your next Evening Walk is on Friday, August 1, 2025, from 6:00 PM to 6:30 PM."
When is my next Family Picnic?,"Your next Family Picnic is on Sunday, August 31, 2025, from 11:00 AM to 3:00 PM."
When is my next Holiday Party?,"Your next Holiday Party is on Wednesday, December 24, 2025, from 7:00 PM to 10:00 PM."
When is Christmas?,"Christmas is on Thursday, December 25, 2025 (all day event)."
When is my next Quantum Mechanics Workshop?,"Your next Quantum Mechanics Workshop is on Sunday, November 9, 2025, from 2:00 PM to 4:00 PM."
When is my next AI Ethics Lecture?,"Your next AI Ethics Lecture is on Sunday, November 2, 2025, from 10:00 AM to 11:30 AM."
